id,prices.amountMax,prices.amountMin,prices.availability,prices.condition,prices.isSale,prices.merchant,prices.shipping,asins 1,asins 2,asins 3,asins 4,asins 5,brand,categories 1,categories 2,categories 3,categories 4,categories 5,categories 6,categories 7,categories 8,categories 9,categories 10,categories 11,categories 12,categories 13,categories 14,manufacturer,name,upc,weight
AVphUeKeilAPnD_x3-Be,136.99,136.99,In Stock,New,TRUE,Bestbuy.com,Free Shipping on orders 35 and up,B001AVRD62,,,,,Yamaha,TV,Speakers,Audio,Home Theater,,,,,,,,,,,YAMAHA,NS-SP1800BL 5.1-Channel Home Theater System (Black),27108105321,1.6 lb 2.6 lb 1.6 lb 18.7 lb
AVpi6aLv1cnluZ0-Rv8A,254.99,254.99,In Stock,New,TRUE,Bestbuy.com,,B00F9LIW5K,,,,,Universal Remote Control,Video,TV,Audio,Home Theater,Accessories,,,,,,,,,,,Universal Remote Control - 48-Device Universal Remote - Black,6.57E+11,1.1 pounds
AVpi6aLv1cnluZ0-Rv8A,209.99,209.99,In Stock,New,TRUE,Bestbuy.com,,B00F9LIW5K,,,,,Universal Remote Control,Video,TV,Audio,Home Theater,Accessories,,,,,,,,,,,Universal Remote Control - 48-Device Universal Remote - Black,6.57E+11,1.1 pounds
AVpi6aLv1cnluZ0-Rv8A,299.98,299.98,,New,FALSE,Bestbuy.com,,B00F9LIW5K,,,,,Universal Remote Control,Video,TV,Audio,Home Theater,Accessories,,,,,,,,,,,Universal Remote Control - 48-Device Universal Remote - Black,6.57E+11,1.1 pounds
AVpi6aLv1cnluZ0-Rv8A,239.99,239.99,In Stock,New,TRUE,Bestbuy.com,,B00F9LIW5K,,,,,Universal Remote Control,Video,TV,Audio,Home Theater,Accessories,,,,,,,,,,,Universal Remote Control - 48-Device Universal Remote - Black,6.57E+11,1.1 pounds
AVpi6aLv1cnluZ0-Rv8A,299.98,299.98,In Stock,New,FALSE,Bestbuy.com,,B00F9LIW5K,,,,,Universal Remote Control,Video,TV,Audio,Home Theater,Accessories,,,,,,,,,,,Universal Remote Control - 48-Device Universal Remote - Black,6.57E+11,1.1 pounds
AVpf0Nyo1cnluZ0-rzhu,499,499,In Stock,New,FALSE,bhphotovideo.com,Free Expedited Shipping for most orders over $49,B00TVFO08S,,,,,Bose,Speakers,Video,TV,Audio,Home Theater,,,,,,,,,,Bose,Acoustimass 6 Series V Home Theater Speaker System (Black),17817664585,1.18 lb
AVpf0Nyo1cnluZ0-rzhu,699.99,699.99,In Stock,New,FALSE,Bestbuy.com,,B00TVFO08S,,,,,Bose,Speakers,Video,TV,Audio,Home Theater,,,,,,,,,,Bose,Acoustimass 6 Series V Home Theater Speaker System (Black),17817664585,1.18 lb
AVpf0Nyo1cnluZ0-rzhu,699,699,In Stock,New,FALSE,bhphotovideo.com,Free Expedited Shipping for most orders over $49,B00TVFO08S,,,,,Bose,Speakers,Video,TV,Audio,Home Theater,,,,,,,,,,Bose,Acoustimass 6 Series V Home Theater Speaker System (Black),17817664585,1.18 lb
AVpf0Nyo1cnluZ0-rzhu,689.95,689.95,In Stock,New,FALSE,bargainbrokers,FREE,B00TVFO08S,,,,,Bose,Speakers,Video,TV,Audio,Home Theater,,,,,,,,,,Bose,Acoustimass 6 Series V Home Theater Speaker System (Black),17817664585,1.18 lb
AVpf0Nyo1cnluZ0-rzhu,599,599,In Stock,New,FALSE,bhphotovideo.com,Free Expedited Shipping for most orders over $49,B00TVFO08S,,,,,Bose,Speakers,Video,TV,Audio,Home Theater,,,,,,,,,,Bose,Acoustimass 6 Series V Home Theater Speaker System (Black),17817664585,1.18 lb
AWOpOCd2YSSHbkXw07ei,224.99,224.99,In Stock,New,TRUE,Bestbuy.com,,B00LF10KTO,,,,,Samsung,Storage,Computers,Tablets,Accessories,,,,,,,,,,,,Samsung - 850 PRO 512GB Internal SATA III Solid State Drive for Laptops,8.87E+11,0.14 ounces
AWOpOCd2YSSHbkXw07ei,249.99,249.99,In Stock,New,FALSE,Bestbuy.com,,B00LF10KTO,,,,,Samsung,Storage,Computers,Tablets,Accessories,,,,,,,,,,,,Samsung - 850 PRO 512GB Internal SATA III Solid State Drive for Laptops,8.87E+11,0.14 ounces
AV2Z1Efc-jtxr-f39lm6,139.99,139.99,In Stock,New,FALSE,Bestbuy.com,,B0134EW7G8,,,,,Corsair,Car,Computers,Tablets,Accessories,Components,,,,,,,,,,,Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),8.44E+11,3.2 ounces
AV2Z1Efc-jtxr-f39lm6,162.99,162.99,In Stock,New,FALSE,Bestbuy.com,,B0134EW7G8,,,,,Corsair,Car,Computers,Tablets,Accessories,Components,,,,,,,,,,,Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),8.44E+11,3.2 ounces
